,,1st sol.,,,best sol.,,,
Instance,N ops,Cost 1st sol,Gap 1st sol,Time to 1st sol,Cost best,Gap best,time to best,Cost LB
B737NG-600-01-Anon,16,138000,0.449,0.193,95250*,0,0.214,95250
B737NG-600-02-Anon,29,130000,0.140,0.489,114000*,0,1.057,114000
B737NG-600-03-Anon,41,337750,0.202,0.772,279000*,0,4.489,279000
B737NG-600-04-Anon,54,217750,0.180,0.848,194750,0.056,10.142,184500
B737NG-600-05-Anon,63,454750,0.152,0.981,412250,0.044,13.695,394750
B737NG-600-06-Anon,105,720750,0.164,2400.613,700750,0.132,2468.385,619000
B737NG-600-07-Anon,104,928000,0.174,1.860,873500,0.105,69.834,790750
B737NG-600-08-Anon,111,586750,0.161,2401.013,578500,0.145,2418.435,505250
B737NG-600-09-Anon,145,759250,0.162,2400.914,749750,0.148,2498.577,653250
B737NG-600-10-Anon,126,767000,0.178,2401.034,729500,0.120,2419.150,651250
B737NG-600-20-Anon,294,3500750,0.204,2402.011,3132500,0.077,2523.308,2908750
B737NG-600-30-Anon,442,4737750,0.169,2402.324,4390500,0.084,2857.192,4052000
B737NG-600-40-Anon,588,4703500,0.158,2402.831,4453750,0.097,3007.573,4061500
B737NG-600-50-Anon,729,5858000,0.138,2402.216,5677000,0.103,3568.372,5148000
B737NG-600-60-Anon,890,7465750,0.161,2403.007,7172500,0.115,3377.688,6430500
B737NG-600-70-Anon,1028,6378750,0.165,2403.536,6204750,0.133,3598.400,5477500
B737NG-600-80-Anon,1166,7742750,0.149,2403.210,7555000,0.121,3453.998,6741500
B737NG-600-90-Anon,1310,9906500,0.168,2403.949,9691000,0.142,3530.050,8483750
B737NG-600-Full-Anon,1459,10690250,0.161,2403.752,10514500,0.142,3584.778,9206000
