,,1st sol.,,,best sol.,,,
Instance,N ops,Makespan 1st sol,Gap 1st sol,Time to 1st sol,Makespan best,Gap best,time to best,Makespan LB
B737NG-600-01-Anon,16,32,0,0.017,32*,0,0.017,32
B737NG-600-02-Anon,29,49,0.361,0.055,36*,0,0.056,36
B737NG-600-03-Anon,41,64,0.362,0.151,47*,0,0.155,47
B737NG-600-04-Anon,54,40,0.212,0.284,33*,0,0.302,33
B737NG-600-05-Anon,63,70,0.273,0.424,55*,0,0.447,55
B737NG-600-06-Anon,105,166,0.186,0.522,142,0.014,1.176,140
B737NG-600-07-Anon,104,227,0.720,0.615,132*,0,1.289,132
B737NG-600-08-Anon,111,112,1.154,0.567,68,0.308,1.232,52
B737NG-600-09-Anon,145,115,0.533,0.727,87,0.160,2.166,75
B737NG-600-10-Anon,126,143,0.554,0.644,110,0.196,1.681,92
B737NG-600-20-Anon,294,635,0.238,1.446,574,0.119,6.846,513
B737NG-600-30-Anon,442,694,0.337,1.925,607,0.170,9.826,519
B737NG-600-40-Anon,588,736,0.287,3.656,690,0.206,63.023,572
B737NG-600-50-Anon,729,960,0.368,5.750,869,0.238,35.320,702
B737NG-600-60-Anon,890,976,0.509,9.404,844,0.304,48.178,647
B737NG-600-70-Anon,1028,696,0.803,10.457,615,0.593,81.824,386
B737NG-600-80-Anon,1166,1023,0.500,15.237,932,0.367,88.211,682
B737NG-600-90-Anon,1310,1409,0.907,18.819,1053,0.425,156.333,739
B737NG-600-Full-Anon,1459,1408,0.898,23.929,1099,0.481,161.354,742
